permitnumber,address,typeofwork,commercialorresidential,occupancytype,approvedscopeofwork,permitissuedate,lng,lat
EP-2021-004217,1815 INGERSOLL ST,New Construction,Residential,,"new 200 amp main electrical system
new wiring include  outlets switches lights smoke detectors AS PER NEC 2014",2021-04-28 04:00:00+00,-75.16588756011024,39.97489263053351
MP-2021-004232,1126 S 24TH ST,New Construction,Residential,,"FOR THE ERECTION OF A THREE-STORY ATTACHED BUILDING WITH CELLAR, ROOF DECK AND ROOF-DECK ACCESS STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPERATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.",2022-01-13 05:00:00+00,-75.18358329025547,39.93878055063587
CP-2020-003948,4101 MARKET ST,New Construction (Shell Only),Commercial,B Business (Office)|S-2 Storage (Low Hazard),"FOR THE ERECTION OF A EIGHT STORY DETACHED STRUCTURE FOR CORE AND SHELL ONLY, ONLY WORK PROPOSED IS FOUNDATION AND CORE.SHELL OF THE STRUCTURE. SEPARATE PERMITS TO BE OBTAINED FOR THE INTERIOR FITOUT OF THE STRUCTURE AND CERTIFICATE OF OCCUPANCY. BUILDING TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13 WITH STANDPIPES IN EXIT STAIRWAYS IN ACCORDANCE WITH NFPA 14. **A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 38 FEET OF THE BUILDING FAÇADE IN ACCORDANCE WITH SECTION 3306 OF THE 2018 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.",2021-01-20 05:00:00+00,-75.20558226999438,39.95799091116639
EP-2021-000826,324 WRIGHT ST,New Construction,Residential,,new 200 amp service. wire throughout as per nec 2014,2021-01-27 05:00:00+00,-75.22564942944406,40.03451128064534
RP-2021-001061,2037 N RANDOLPH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED THREE (3) STORY WOOD-FRAMED STRUCTURE OF TYPE VB CONSTRUCTION WITH BASEMENT, ROOF DECK, AND ROOF DECK ACCESS STRUCTURE FOR USE AS A TWO-FAMILY DWELLING (GROUP R-3 USE & OCCUPANCY CLASSIFICATION). BUILDING TO BE FULLY SPRINKLERED WITH A MINIMUM OF A NFPA 13D AUTOMATIC SPRINKLER SYSTEM. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH THE 2018 IBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",2021-03-18 04:00:00+00,-75.14299245950258,39.98244900103562
RP-2020-005780,2135 E ORLEANS ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE-FAMILY HOUSEHOLD LIVING. SHEETHING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IRC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2021-01-21 05:00:00+00,-75.11488847989486,39.988724221174
PP-2020-000839,417 E WISTER ST,New Construction or Additions,Residential,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2020-04-14 04:00:00+00,-75.16010114976471,40.03534739088301
1017253,7519 RIDGE AVE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"BUILDING 101.. PROPOSED NEW (3) STORY TWO FAMILY RESIDENCE. MAX HEIGHT FROM AVERAGE GRADE TO T.O. ROOF STRUCTURE NOT TO EXCEED 38'-0"", (2) ACCESSORY PARKING SPACES.",2020-12-28 05:00:00+00,-75.23498215947635,40.04967824086062
RP-2020-015907,7519 RIDGE AVE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2021-01-22 05:00:00+00,-75.23498215947635,40.04967824086062
CP-2020-005670,175 W OXFORD ST,New Construction,Commercial,"A-3 Assembly (Worship, Recreation, Amusement, Other)|B Business (Office)|R-2 Residential (>2 Dwellings)|S-2 Storage (Low Hazard)|U Utility and Miscellaneous","NEW CONSTRUCTION OF A SIX (6) STORY STRUCTURE TO INCLUDE VACANT COMMERCIAL SPACES (USE REGISTRATION & FIT-OUT PERMITS REQUIRED PRIOR TO OCCUPANCY), ONE HUNDRED TWENTY-EIGHT (128) DWELLING UNITS AND ACCESSORY PARKING GARAGE AS PER APPROVED PLANS. BUILDING TO UTILIZE HORIZONTAL SEPARATIONS TO CREATE TWO (2) SEPARATE BUILDINGS WITH TWO (2) DIFFERENT CONSTRUCTION TYPES (BASEMENT & 1ST FLOOR - TYPE IA AND 2ND THROUGH 6TH FLOORS - TYPE IIIB). FIRE RETARDANT TREATED STUDS AND SHEATHING REQUIRED FOR TYPE III CONSTRUCTION. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13 AND INCLUDE STANDPIPES PER NFPA 14. FIRE WATCH REQUIRED PER CODE BULLETIN F-2001. *2018 IBC REVIEW* 

AMENDMENT APPROVED 6/16/21
AMEND NEW CONSTRUCTION PERMIT CP-2020-005670 FOR CHANGES TO STRUCTURAL FRAMING & FOUNDATION DESIGNS AND UNIT LAYOUTS AS PER APPROVED PLANS. 
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2021-04-05 04:00:00+00,-75.138064660204,39.974978821282384
PP-2023-016192,267 DELMAR ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2023-011380,2024-08-12 04:00:00+00,-75.2283885098913,40.035851881160966
PP-2024-004121,4050 CONSHOHOCKEN AVE,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2024-002655,2025-12-22 05:00:00+00,-75.21287778965673,40.001192930634005
PP-2021-023595,2001 BEACH ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2021-019131,2022-05-16 04:00:00+00,-75.11693210992816,39.971272101012175
PP-2020-014029,2001 BEACH ST,New Construction or Additions,Residential,,ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR  SPRINKLER ( MINIMUM 13D) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.  'TYPE E' CONFIGURATION BASED ON THE MASTER PERMIT APPROVAL DOCUMENTS.,2024-08-19 04:00:00+00,-75.11693210992816,39.971272101012175
PP-2022-009043,1740 HOPE ST,New Construction or Additions,Residential,,"Installation of 1"" Water Service, 6"" Curb Trap, Main Drain. 
Installation of PVC drain lines and PEX water lines for
1 1/2 Bathroom, 2 Full Bathrooms, 1 Kitchen
For a single family dwelling AS PER PPC 2018",2022-06-10 04:00:00+00,-75.13464612001678,39.97651789085913
982493,611 EMILY ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECK REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2015 IRC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.

** Amend to change Special Inspection Agency (SIA) to Henry Building Services LLC and DPRC-SI to Trevor Henry, as per amended documents **",2020-09-24 04:00:00+00,-75.15705172945482,39.92365879116266
MP-2020-005793,2001 BEACH ST,New Construction,Residential,,ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR  SPRINKLER ( MINIMUM 13D) WORK. (UNDERPINNNING IS NOT PART OF THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.  'TYPE E' CONFIGURATION BASED ON THE MASTER PERMIT APPROVAL DOCUMENTS.,2022-01-25 05:00:00+00,-75.11693210992816,39.971272101012175
RP-2023-007090,1958 N DARIEN ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF AN ATTACHED, THREE-STORY STRUCTURE OF TYPE VB CONSTRUCTION WITH A CELLAR AND A ROOF DECK WITH A ROOF ACCESS STRUCTURE AS PER PLANS. FOR A SINGLE-FAMILY DWELLING. ",2024-01-11 05:00:00+00,-75.14814443961116,39.9817545310768
MP-2020-005204,2139 N REESE ST,New Construction,Residential,,"FOR NEW CONSTRUCTION OF A THREE (3) STORY WOOD-FRAME ATTACHED STRUCTURE ON REINFORCED CONCRETE FOOTINGS/FOUNDATIONS WITH REAR EGRESS WELL, ROOF DECK AND ONE ROOF ACCESS STRUCTURE. FOR USE AS A SINGLE-FAMILY DWELLING THROUGHOUT. SIZE AND LOCATION AS SHOWN IN THE APPLICATION / PLAN.  BUILDING SHALL BE FULLY SPRINKLERED, SEPARATE PERMITS REQUIRED FOR ALL MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION SYSTEMS. *PROTECTION OF RIGHT-OF-WAY / PEDESTRIANS / ADJACENT PROPERTIES REQUIRED DURING ALL CONSTRUCTION.*",2022-10-06 04:00:00+00,-75.1423995797507,39.98379404117993
PP-2023-001220,10 E MONTGOMERY AVE,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2021-018899,2023-04-26 04:00:00+00,-75.13233315942658,39.97679141089065
CP-2022-006980,7037 RIDGE AVE,New Construction,Commercial,R-2 Residential (>2 Dwellings),"FOR THE ERECTION OF A THREE (3) STORY DETACHED STRUCTURE AS PER APPROVED PLANS. FOR USE AS FIFTEEN (15) DWELLING UNITS. STRUCTURE TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13 MINIMUM. **SEPARATE PERMITS REQUIRED FOR MEP AND FIRE SUPPRESSION WORK.**  **2018 IBC**

AMENDMENT 2/7/24 FOR LAYOUT CHANGES, STRUCTURAL MODIFICATIONS, INSULATION, DOORS, AND OTHER MINOR MODIFICATIONS AS PER APPROVED PLANS. ",2023-06-06 04:00:00+00,-75.22944053951909,40.04463640071221
CP-2020-004180,3335 N 16TH ST,New Construction,Commercial,R-2 Residential (>2 Dwellings),"FOR THE CONSTRUCTION OF A THREE-STORY STRUCTURE WITH PILOTHOUSE TO ACCESS PRIVATE ROOF DECKS, ACCESSORY TO DWELLING UNITS #3 AND #4, FOR USE AS TOTAL OF FOUR (4) DWELLING UNITS, AS PER APPROVED PLANS.",2021-12-30 05:00:00+00,-75.15523460008707,40.004694520587016
MP-2024-001639,1548 S MYRTLEWOOD ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-002775,2024-08-22 04:00:00+00,-75.19399398950594,39.93399367108353
MP-2025-000221,7248 RISING SUN AVE,New Construction,Commercial,,"FOR THE INSTALLATION OF REGISTERS, DIFFUSERS, AND APPLIANCES WITH ASSOCIATED DUCTWORK. APPLIANCES TO BE INSTALLED IN ACCORDANCE WITH THE MANUFACTURER’S SPECIFICATIONS. FOR USE AS PREVIOUSLY APPROVED. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.
",2025-01-23 05:00:00+00,-75.08479877020635,40.06093930130232
MP-2021-005389,1838 N MARSHALL ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2020-015346,2023-02-05 05:00:00+00,-75.14576983991861,39.97967311067705
PP-2021-023765,761 S CLEVELAND ST,New Construction or Additions,Residential,,Plumbing Permit (Exterior Building Drainage) for combo RP-2021-014277,2025-09-09 04:00:00+00,-75.17275326960879,39.94213288130176
1052432,2418 HARLAN ST,New Construction,Residential,,Install 1 HVAC unit with ductwork,2020-03-06 17:30:00+00,-75.17552008041288,39.97690421125311
1046628,2045 S HEMBERGER ST,New Construction,Residential,,"EZ PERMIT DUCTWORK & WARM-AIR APPLIANCES- For the installation if New Ductwork,
Registers/Grilles/Diffusers, and Warm-Air Appliances as per attached standards. Deviations from these
standards require submission of construction and site plans.",2020-02-03 19:54:00+00,-75.18362698002545,39.92645339124158
PP-2022-004380,725 LATONA ST,New Construction or Additions,Residential,,INSTALLATION OF WASTE AND WATER LINES FOR FIXTURES FOR NEW CONTRUACTION AS PER PPC 2018,2022-04-08 04:00:00+00,-75.15672106993517,39.93339588058213
EP-2023-007642,1450 N 27TH ST,New Construction,Residential,,Electrical Permit for combo RP-2023-005712,2023-12-04 05:00:00+00,-75.17972944971874,39.9783814712963
1055232,3374 FORDHAM RD,New Construction,Commercial,,NEW 100AMP SERVICE ENTRANCE WIRING/DEVICES REPLACEMENT/INSTALLATION AS PER 2014 NEC  ,2020-03-09 15:48:00+00,-75.00935589953009,40.05829923087626
EP-2023-002371,1403 E OXFORD ST,New Construction,Residential,,"•	200A incoming service.
•	4” Disc lights throughout
•	Decora Switches and outlets.
•	Hardwire smoke detectors.
•	All gas appliances.
•	Builder grade bath fans installed and supplied.
•	All decorative light fixtures to be supplied by builder.
•	Permits and inspections by us.
As per 2017 nec",2023-03-16 04:00:00+00,-75.13263254988559,39.97305957120008
EP-2020-005507,1946 N 6TH ST,New Construction,Commercial,,"400 AMP SERVICE (4) 150 AMP PANELS, (1) 100AMPHOUSE PANEL. IWRINF THROUGHOUT FOUR UNITS LIGHTS, SWITCHES, RECEPTACLES, HVAC WIRING , NEW FIRE ALARM SYSTEM THROUGHOUT AS PER THE 2017 NEC & 2016 NFPA-72.",2020-08-25 04:00:00+00,-75.14479494959281,39.98121252110136
1038202,5135 HADFIELD ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"FOR THE ERECTION OF A THREE (3) STORY ATTACHED STRUCTURE WITH ROOF DECK AND ROOF DECK ACCESS STRUCTURE; FOR USE AS SINGLE FAMILY DWELLING. SEPARATE PERMIT REQUIRED FOR MEP AND FIRE SUPPRESSION WORK. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY.",2020-02-14 14:23:00+00,-75.22585301948945,39.94697248087519
PP-2022-004069,2437 CEDAR ST,New Construction or Additions,Residential,,Plumbing Permit (Interior) for combo RP-2022-001674,2022-07-30 04:00:00+00,-75.12360667946326,39.97862697135751
1043329,2904 POPLAR ST,New Construction,Commercial,,"300 AMP SERVICES 5 GANG METER SOCKET, (4) 125 AMP PANELS  & FEEDERS. (1) 100 AMP PANEL & FEEDER, WIRING THROUGHOUT COMMON AREAS AND FOUR UNITS LIGHTING , SWITCHES, RECEPTACLES, MECHANICAL AND HVAC EQUIPMENT. INSTALL FIRE ALARM SYSTEM THROUGHOUT AS  PER 2017 NEC AND NFPA 72 (CC DIST)  ",2021-01-29 05:00:00+00,-75.18409963027486,39.973037391291875
EP-2023-005069,1312 N 24TH ST,New Construction,Residential,,Electrical Permit for combo RP-2023-005251,2023-12-01 05:00:00+00,-75.1754089002977,39.97566827079896
PP-2023-012224,922-38 N BROAD ST,New Construction or Additions,Commercial,,"INSTALL 172 KITCHEN SINKS, 171 WASHING MACHINE BOXES, 173 FLOOR DRAINS, 2 ELEVATOR SUMP PUMPS, 1 SUMP PUMP, 1 BACKFLOW PREVENTER, 
4 TRENCH DRAINS, 172 HOT WATER HEATERS, 1 HOSE BIBB, 1 DOMESTIC WATER BOOSTER PUMP, 14 ROOF DRAINS, 1 GREASE INTERCEPTOR, 
22 STORM DRAINS, 1 STORM VAULT, 201 SHOWER/TUBS, 201 WATER CLOSETS, 201 LAVATORIES AND 1 AREA DRAIN ACCORDING TO THE 2018 PPC AND PER PLANS. ",2024-02-28 05:00:00+00,-75.16000573014932,39.971179930708885
PP-2022-000850,1929 KATER ST,New Construction or Additions,Residential,,"3 WC,2 TUBS,3 LAVATORIES,1 LL,1 KS,1 WH",2022-01-19 05:00:00+00,-75.17449724984941,39.94441369056265
PP-2020-009977,2429 W THOMPSON ST,New Construction or Additions,Commercial,,"New construction, interior plumbing.
All proposed work to be done in accordance with Philadelphia Plumbing Code 2018. 
",2020-10-21 04:00:00+00,-75.17628018004562,39.97562520120216
PP-2024-012353,2223 OAKFORD ST,New Construction or Additions,Residential,,"Need footway and plumbing permit

Install two curb traps, two fresh air inlets, new storm drain throughout basement, rain leader and cess-pool combination ",2024-09-09 04:00:00+00,-75.18107093942565,39.93718150077785
EP-2020-009858,1318 N FRANKLIN ST,New Construction,Commercial,,"Install new 400amp service, lighting, switches, outlets, and 120v smoke detectors. Install low voltage cabling as per 2017 NEC.  Install commercial fire alarm as per 2016 NFPA 72.
",2020-12-30 05:00:00+00,-75.14881730971439,39.97238925096189
PP-2022-012062,3017 RIDGE AVE,New Construction or Additions,Commercial,,"For minor construction work at the subject property in accordance with all applicable provisions of the Philadelphia Code, all references codes and standards, and the attached EZ Standard, where included. Deviation from this standard shall result in permit revocation. A separate permit from the Philadelphia Department of Streets is required for any sidewalk and street closures. All means of pedestrian protection required at the site in accordance with the Philadelphia Building Code Chapter 33 shall be in place prior to start of work.",2022-08-16 04:00:00+00,-75.18276680038808,39.98858342068733
FP-2024-000157,2405 N 6TH ST,New Construction,Commercial,,FOR THE INSTALLATION OF A NEW FIRE SUPPRESSION SYSTEM DESIGNED PER NFPA 13 STANDARD WITH A 2 INCH FIRE SERVICE LINE AND SPRINKLER AS PER PLANS. ,2024-02-16 05:00:00+00,-75.14289806023682,39.987923120883295
FP-2023-000535,5524 MATTHEWS ST,New Construction,Residential,,INSTALL NEW FIRE SUPPRESSION SYSTEM AND 1” COMBINED SERVICE IN ACCORDANCE WITH NFPA 13D THROUGHOUT THE ENTIRE BUILDING. ALL WORK SHALL COMPLY WITH THE APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA. ,2023-04-24 04:00:00+00,-75.15877969961078,40.0478604005389
CP-2020-000805,801 ARAMINGO AVE,New Construction,Commercial,R-2 Residential (>2 Dwellings),"FOR THE ERECTION OF AN ATTACHED LIGHT-FRAMED STRUCTURE FOR THE USE OF THREE (3) HOUSEHOLD LIVING UNITS TO INCLUDE EGRESS WINDOW WELLS, REAR BALCONY DECKS, ROOF DECKS, ACCESS PILOT HOUSES, UNDERPINNING INSTALLATION, RATED FIRE WALLS, RATED FLOOR/CEILING ASSEMBLIES, RATED FIRE BARRIERS AND STAIR SHAFT ENCLOSURES, INTERIOR FIRE PARTITIONS, AND  (IBC 2018) [ADDITIONAL EFFICIENCY PACKAGE--REDUCED SERVICE WATER HEATING DEMAND SECTION 406.7.] **SEPARATE PERMITS REQ'D FOR ELECTRICAL, MECHANICAL, ELECTRICAL, AND FIRE SUPPRESSION SYSTEM INSTALLATIONS.**

AMENDMENT 10/23/2020--FOR THE AMENDMENT OF DWG A0.01 FOR THE REVISION OF THE REQUIRED SPRINKLER SYSTEM INSTALLATION TO A NFPA 13R SYSTEM.

4/8/21: FOR REVISION OF SPECIAL INSPECTION AGENCY AND REGISTERED DESIGN PROFESSIONAL IN RESPONSIBLE CHARGE OF SPECIAL INSPECTIONS.",2020-09-04 04:00:00+00,-75.12389618037517,39.97289290094691
FP-2025-002119,223 S 60TH ST,New Construction,Commercial,,"FOR THE INSTALLATION OF FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13 THROUGHOUT THE BUILDING TO INCLUDE 2"" MAIN FIRE SERVICE LINE WITH 2-INCH WILKINS 950XLT2 BACKFLOW PREVENTER AND AUTOMATIC FIRE SUPPRESSION SYSTEM. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK.",2025-12-15 05:00:00+00,-75.24128641045122,39.95831638060038
FP-2022-002670,1814 N 4TH ST,New Construction,Residential,,"FOR THE INSTALLATION OF AN AUTOMATIC WET SPRINKLER SYSTEM THROUGHOUT A THREE (3) STORY SINGLE-FAMILY DWELLING TO INCLUDE A NEW ONE (1) INCH COMBINED DOMESTIC & FIRE SERVICE LINE. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH NFPA 13D BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA. IF SITE CONDITIONS VARY, CONTACT DESIGN ENGINEER PRIOR TO START OF WORK. SEE RP-2021-008840 FOR ASSOCIATED BUILDING PERMIT.",2022-12-15 05:00:00+00,-75.14143793970176,39.97857238098796
FP-2022-000778,2120 TITAN ST,New Construction,Residential,,"INSTALL NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH NFPA 13D THROUGHOUT AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 1"" MAIN FIRE SERVICE LINE AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA",2022-04-04 04:00:00+00,-75.17960930984542,39.93599130085024
RP-2022-000810,2215 S 5TH ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),For the erection of a 2 story single family dwelling per plans. ,2022-06-01 04:00:00+00,-75.15523553025037,39.92073523074928
RP-2022-012499,5436 W GIRARD AVE,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),FOR THE ERECTION OF AN ATTACHED STRUCTUR FOR SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEOTECH REPORT. (UNDERPINNING NOT A PART OF THIS PERMIT). SEPARATE PERMITS REQUIRED FOR SPRINKLER (13D) WORK. ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C/O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTHTO BE COMPLETED BY AN APPROVED PARTY.,2023-06-27 04:00:00+00,-75.23001145960654,39.970765511367766
FP-2020-001714,1731 PACKER AVE,New Construction,Commercial,,"FOR INSTALLATION OF 2-INCH FIRE SERVICE LINE, 3-INCH BACKFLOW PREVENTOR AND FIRE SPRINKLER SYSTEM IN ACCORDANCE WITH APPROVED PLANS, HYDRAULIC CALCULATIONS AND NFPA 13.",2020-11-25 05:00:00+00,-75.17758348031303,39.9127603008951
CP-2021-004630,147-49 N GROSS ST,New Construction,Commercial,R-2 Residential (>2 Dwellings)|U Utility and Miscellaneous,"FOR THE ERECTION OF AN ATTACHED BUILDING WITH CELLAR, ROOF DECKS AND ROOF-DECK ACCESS STRUCTURES.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13R.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPRESSION.
*AMEND 12-23-22; REVISE FLOOR PLAN AND RELOCATE MECHANICAL EQUIPMENT/APPLIANCES*
*AMEND 10-1-23; REMOVE UNDERPINNING (NOT REQUIRED)*",2021-11-11 05:00:00+00,-75.24703583051715,39.96542509096818
PP-2020-011416,7043 GILLESPIE ST,New Construction or Additions,Residential,,FOR THE ERECTION OF AN ATTACHED STRUCTURE (NTE 38 FT.) WITH ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE. SIZE AND LOCATION AS PER PLANS. FOR A SINGLE-FAMILY HOUSEHOLD LIVING.,2021-08-03 04:00:00+00,-75.04140384043026,40.03045456067334
EP-2020-010958,2001 BEACH ST,New Construction,Residential,,"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS TWO FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER 13R WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. SEE MASTER RP-2020-003735",2023-01-31 05:00:00+00,-75.11693210992816,39.971272101012175
RP-2023-004375,1513-17 PINE ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"ERECTION OF AN ATTACHED STRUCTURE FOR USE AS SINGLE FAMILY HOUSEHOLD LIVING. SHEETING AND SHORING AS PRESCRIBED IN GEO TECH REPORT. SEPARATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER (13R) WORK. (NO UNDERPINNING ON THIS PERMIT). ENERGY CODE COMPLIANCE IN ACCORDANCE WITH 2018 IECC. PRIOR TO ISSUANCE OF C.O SUBMITTAL OF AIR BARRIER CHECKLIST AND ENVELOPE TESTING CERTIFICATE IS REQUIRED. BOTH TO BE COMPLETED BY AN APPROVED PARTY. SEE RP-2022-005781 FOR FOUNDATION APPROVAL.",2023-06-09 04:00:00+00,-75.16741764959674,39.94608256053223
MP-2024-001458,2308 SEYBERT ST,New Construction,Residential,,Mechanical / Fuel Gas Permit for combo RP-2024-001585,2024-06-27 04:00:00+00,-75.1739915805129,39.975512760777725
RP-2021-015251,122 E HORTTER ST,New Construction,Residential,R-3 Residential (1 or 2 Dwellings),"NEW CONSTRUCTION OF A THREE (3) STORY ATTACHED SINGLE FAMILY DWELLING (UNIT A6) WITH ROOF DECK AND PILOT HOUSE (IRC 2015 TOWNHOUSE CONSTRUCTION) AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED. *2015 IRC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2022-02-18 05:00:00+00,-75.18174510959253,40.05248865121203
